,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genre,literaryform,doctype,ocr_creator,ocr_timestamp,genres
24,700016384.0,URN:NBN:no-nb_dhlab_700016384,Tillegg til tildelingsbrev for 2020 - garantiordning for reforsikring av kreditt,,,,,,2020-06-22 00:00:00,2020.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / GIEK",no,,,Tildelingsbrev,Tildelingsbrev,kudos,kudos,2022-06-08 23:08:17,
55,700021605.0,URN:NBN:no-nb_dhlab_700021605,Oppdragsbrev,,,,,,2021-12-23 00:00:00,2021.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / Innovasjon Norge / Innovasjon Noreg / Innovasjon Norge / Innovasjon Noreg",no,,,Ukategorisert,Oppdragsbrev,kudos,kudos,2022-10-06 14:08:02,
56,700013863.0,URN:NBN:no-nb_dhlab_700013863,Brudd på anskaffelsesregelverket og mulige årsaker til disse bruddene,,,,,,2008-11-26 00:00:00,2008.0,"Fornyings- og administrasjonsdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
60,700010801.0,URN:NBN:no-nb_dhlab_700010801,Kulturminnefondets samfunnsnytte,"Menon Economics / Magnussen , Kristin / Gierløff , Caroline Wang / Iversen , Endre Kildal / Dombu , Siri Voll / Ibenholdt , Karin / Navrud , Ståle",,,,,2017-01-01 00:00:00,2017.0,"Norsk Kulturminnefond / Norsk kulturminnefond , Sekretariatet",nb,,,Evaluering,,kudos,kudos,2022-10-24 11:01:37,
76,700018183.0,URN:NBN:no-nb_dhlab_700018183,Meld . St . 20 ( 2016–2017 ) : Pliktsystemet for torsketrålere,,,,,,2017-03-17 11:45:00,2017.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Melding til Stortinget,Melding til Stortinget,kudos,kudos,2023-02-01 11:16:27,
96,700003105.0,URN:NBN:no-nb_dhlab_700003105,Konsekvenser av nedleggelse av Haldenreaktoren ( . pdf 903 kB ),,,,8251837367,,2005-06-01 00:00:00,2005.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
98,700021272.0,URN:NBN:no-nb_dhlab_700021272,Rapport mulighetsstudie Nasjonalgalleriet - andre del - 2022,Nasjonalmuseet / Stiftelsen Nasjonalmuseet for kunst / Sparebankstiftelsen DNB,,,,,2022-01-26 00:00:00,2022.0,Kultur- og likestillingsdepartementet / KUD,no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
107,700007795.0,URN:NBN:no-nb_dhlab_700007795,Tildelingsbrev,,,,,,2016-01-05 00:00:00,2016.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / Havforskningsinstituttet / Nasjonalt institutt for ernærings- og sjømatforskning / NIFES / Nasjonalt institutt for ernærings- og sjømatforskning NIFES",no,,,Tildelingsbrev,Tildelingsbrev,kudos,kudos,2022-06-08 23:29:40,
109,700016513.0,URN:NBN:no-nb_dhlab_700016513,Nasjonal bibliotekstrategi 2020-2023 - Rom for demokrati og dannelse,,,,,,2019-09-02 00:00:00,2019.0,Kulturdepartementet / Kunnskapsdepartementet / Kultur- og likestillingsdepartementet / KD / KUD,no,,,Ukategorisert,Plan/strategi,kudos,kudos,2022-10-06 14:08:02,
140,700012714.0,URN:NBN:no-nb_dhlab_700012714,Tildelingsbrev ( . pdf ),,,,,,2015-03-18 00:00:00,2015.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD / Kunst i offentlege rom - KORO / Kunst i offentlige rom / KORO / KUNST I OFFENTLIGE ROM KORO,no,,,Tildelingsbrev,Tildelingsbrev,kudos,kudos,2022-06-08 23:32:51,
153,700014665.0,URN:NBN:no-nb_dhlab_700014665,EXPO 05 oppsummering med faktaopplysninger ( pdf 15 kb ),,,,,,2006-04-04 00:00:00,2006.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
189,700005850.0,URN:NBN:no-nb_dhlab_700005850,Danseprosjektet Isadora : vurderinger av et kunstnerisk utviklingsprosjekt,"Nasjonalt sammensatt evalueringskomité / Simonsen , Mie Berg / Hellemann , Vibeke / Leinslie , Elisabeth / Thorshaug , Cathrine Bull",,,978-82-7081-144-1,,2008-01-01 00:00:00,2008.0,"Norsk kulturråd / ABM-utvikling - Statens senter for arkiv , bibliotek og museum / Kulturrådet / Kulturdirektoratet",nb,,,Evaluering,,kudos,kudos,2022-10-24 11:01:37,
192,700023161.0,URN:NBN:no-nb_dhlab_700023161,St.prp . nr. 33 ( 2003-2004 ) : Utskillelse og børsnotering av Agri fra Norsk Hydro ASA,,,,,,2003-11-28 09:45:16,2003.0,"Nærings- og handelsdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Proposisjon til Stortinget,Proposisjon,kudos,kudos,2022-10-05 08:58:01,
198,700000979.0,URN:NBN:no-nb_dhlab_700000979,Årsrapport,,,,,,2018-03-16 00:00:00,2018.0,"Konkurransetilsynet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",en,,,Årsrapport,Årsrapport,kudos,kudos,2022-06-08 21:44:19,
217,700008735.0,URN:NBN:no-nb_dhlab_700008735,Evaluering av organiseringen av ABM-utvikling,"Statskonsult / Botheim , Ingunn / Viggen , Marit / Solumsmoen , Dag",,,,,2006-01-01 00:00:00,2006.0,"Norsk kulturråd / ABM-utvikling - Statens senter for arkiv , bibliotek og museum / Kulturrådet / Kulturdirektoratet",nb,,,Evaluering,,kudos,kudos,2022-10-24 11:01:37,
224,700023220.0,URN:NBN:no-nb_dhlab_700023220,St.prp . nr. 47 ( 2002-2003 ) : Om støtte til skipsbyggingsindustrien,,,,,,2003-02-21 12:04:13,2003.0,"Nærings- og handelsdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Proposisjon til Stortinget,Proposisjon,kudos,kudos,2022-10-05 08:58:01,
246,700021857.0,URN:NBN:no-nb_dhlab_700021857,St.prp . nr. 50 ( 2003-2004 ) : Om videreføring av støtte til skipsbyggingsindustrien,,,,,,2004-04-02 10:01:00,2004.0,"Nærings- og handelsdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Proposisjon til Stortinget,Proposisjon,kudos,kudos,2023-02-01 12:14:00,
249,700019187.0,URN:NBN:no-nb_dhlab_700019187,Meld . St . 40 ( 2012–2013 ) : Fiskeriavtalane Noreg har inngått med andre land for 2013 og fisket etter avtalane i 2011 og 2012,,,,,,2013-06-07 11:45:00,2013.0,"Fiskeri- og kystdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",nn,,,Melding til Stortinget,Melding til Stortinget,kudos,kudos,2023-02-01 11:34:22,
254,700005596.0,URN:NBN:no-nb_dhlab_700005596,Årsrapport GalleriRAM under KORO ( . pdf ),,,,,,2015-04-07 00:00:00,2015.0,Kulturdepartementet / Kunst i offentlege rom - KORO / Kunst i offentlige rom / KORO / KUNST I OFFENTLIGE ROM KORO / Kultur- og likestillingsdepartementet / KUD,no,,,Årsrapport,Årsrapport,kudos,kudos,2022-06-08 22:23:54,
255,700020891.0,URN:NBN:no-nb_dhlab_700020891,Likestilling og mangfold i maritim næring og utdanning,"Høgskolen i Innlandet / Høgskulen i Lillehammer / Wold , Lisa Knatterud / Akin , Deniz / Bern , Aleksander / Lauritzen , Tonje / Tholstrup , Line Marie / Alemayehu , Fikru Kefyalew",,,9788283803365,,2022-05-18 00:00:00,2022.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
280,700016028.0,URN:NBN:no-nb_dhlab_700016028,Tidligere Barne- og likestillingsdepartementets instruks for økonomi- og virksomhetsstyringen i Sekretariatet for Diskrimineringsnemnda ( . pdf ),,,,,,2018-01-09 00:00:00,2018.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD / Diskrimineringsnemnda,,,,Instruks,Instruks,kudos,kudos,2022-10-24 11:01:40,
287,700006249.0,URN:NBN:no-nb_dhlab_700006249,Norge 2020,,,,,,2012-02-13 00:00:00,2012.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
291,700004831.0,URN:NBN:no-nb_dhlab_700004831,Evaluering av tilskuddsordninger på filmområdet,"Menon Economics / Gaustad , Terje / Grünfeld , Leo A. / Engelstad , Audun / Dombu , Siri Voll / Flesche , Bjørn I / Lind , Lars Hallvard",,,,,2020-01-13 20:10:58,2020.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,no,,,Evaluering,Rapport,kudos,kudos,2022-10-07 20:10:58,
329,700020462.0,URN:NBN:no-nb_dhlab_700020462,Prop . 39 L ( 2010–2011 ) : Endringer i lov om Innovasjon Norge,,,,,,2010-11-26 11:45:00,2010.0,"Nærings- og handelsdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Proposisjon til Stortinget,Proposisjon,kudos,kudos,2023-02-01 11:48:58,
331,700004916.0,URN:NBN:no-nb_dhlab_700004916,Foreningsliv i et flerkulturelt lokalsamfunn,,,,9788277633398,,2010-11-09 00:00:00,2010.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
333,700003854.0,URN:NBN:no-nb_dhlab_700003854,Steder for å minnes og påminnes,,,,,,2012-04-30 00:00:00,2012.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
351,700004290.0,URN:NBN:no-nb_dhlab_700004290,Strategi mot arbeidslivskriminalitet ( 2017 – ),,,,,,2017-02-13 00:00:00,2017.0,"Kommunal- og moderniseringsdepartementet / KMD / Kommunal- og moderniseringsdepartementet , Landbruks- og matdepartementet / Kommunal- og distriktsdepartementet / KDD / Arbeids- og sosialdepartementet / Justis- og beredskapsdepartementet / Kunnskapsdepartementet / Nærings- og fiskeridepartementet / Finansdepartementet / Statsministerens kontor / Arbeids- og inkluderingsdepartementet / Sosialdepartementet / Det kgl . justis- og politidepartement / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / JD / KD / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / SMK / AID / FIN / NFD / Justis- og beredskapsdepartementet mfl. / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet / Justisdepartmentet / Finans- og tolldepartementet",no,,,Ukategorisert,Plan/strategi,kudos,kudos,2022-10-14 07:13:52,
367,700014106.0,URN:NBN:no-nb_dhlab_700014106,"Ny rapport om frivillige organisasjoners inntekter , utgifter og momsbelastning",,,,,,,,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
380,700012394.0,URN:NBN:no-nb_dhlab_700012394,NIS med fokus på service og kvalitet ( . pdf ),,,,,,2004-09-10 00:00:00,2004.0,"Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,Ukategorisert,Rapport,kudos,kudos,2022-10-06 11:34:15,
383,700004790.0,URN:NBN:no-nb_dhlab_700004790,Evaluering av sysselsettingsordningene for sjøfolk,Econ Pöyry,,,978-82-8232-115-0,,2010-01-01 00:00:00,2010.0,"Nærings- og handelsdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",nb,,,Evaluering,,kudos,kudos,2022-10-24 11:01:37,
386,700025692.0,URN:NBN:no-nb_dhlab_700025692,Nytt operahus,,,,,,2002-01-01 00:00:00,2002.0,Kultur- og kirkedepartementet / Kultur- og likestillingsdepartementet / KUD,no,,,KVU/KS1/KS2,KVU/KS1/KS2,kudos,kudos,2022-11-30 10:21:42,
387,700025618.0,URN:NBN:no-nb_dhlab_700025618,Heving av U-864,,,,,,2011-01-01 00:00:00,2011.0,"Fiskeri- og kystdepartementet / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",no,,,KVU/KS1/KS2,KVU/KS1/KS2,kudos,kudos,2022-12-12 10:05:10,
416,700021733.0,URN:NBN:no-nb_dhlab_700021733,St.meld . nr. 22 ( 2004-2005 ) : Kultur og næring,,,,,,2005-03-18 09:00:00,2005.0,Kultur- og kirkedepartementet / Kultur- og likestillingsdepartementet / KUD,nn,,,Melding til Stortinget,Melding til Stortinget,kudos,kudos,2023-02-01 12:13:35,
428,700002273.0,URN:NBN:no-nb_dhlab_700002273,Årsrapport ( . pdf ),,,,,,2015-06-29 00:00:00,2015.0,Kulturdepartementet / Svalbard kirke / Kultur- og likestillingsdepartementet / KUD,en,,,Årsrapport,Årsrapport,kudos,kudos,2022-06-08 22:42:23,
482,700000036.0,URN:NBN:no-nb_dhlab_700000036,Årsmelding,,,,,,2019-04-29 00:00:00,2019.0,"Havforskningsinstituttet / Nasjonalt institutt for ernærings- og sjømatforskning / NIFES / Nasjonalt institutt for ernærings- og sjømatforskning NIFES / Nærings- og fiskeridepartementet / Ministry of Trade , Industry and Fisheries / Kulturdepartementet , Nærings- og fiskeridepartementet / Arbeids- og sosialdepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Kunnskapsdepartementet , Nærings- og fiskeridepartementet , Statsministerens kontor / Nærings- og fiskeridepartementet , Samferdselsdepartementet / Arbeids- og sosialdepartementet , Barne- og familiedepartementet , Finansdepartementet , Justis- og beredskapsdepartementet , Kommunal- og moderniseringsdepartementet , Nærings- og fiskeridepartementet , Samferdselsdepartementet , Statsministerens kontor , Utenriksdepartementet / NFD / Nærings- og fiskeridepartementet Kommunal- og moderniseringsdepartementet Klima- og miljødepartementet",de,,,Årsrapport,Årsrapport,kudos,kudos,2022-06-08 23:03:41,
484,700006732.0,URN:NBN:no-nb_dhlab_700006732,Kvalitetssikring av Norges Fotballforbunds søknad om statlige tilskudd og garantier til søknad om EM i fotball for herrer 2016,Holte Consulting / Econ Pöyry,,,9788282321013,,2009-12-08 00:00:00,2009.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,nb,,,KVU/KS1/KS2,Rapport,kudos,kudos,2022-10-24 11:01:37,
489,700009539.0,URN:NBN:no-nb_dhlab_700009539,Vurdering av den årlige rapporteringen fra NRK AS om selskapets effektivitet,Deloitte,,,,,2015-01-01 00:00:00,2015.0,Kulturdepartementet / Kultur- og likestillingsdepartementet / KUD,nb,,,Evaluering,,kudos,kudos,2022-10-24 11:01:37,
